GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security.dto,LoginResponse,294,49,62,0,2,9,43,9,12,9
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security.dto,RegisterRequest,235,0,46,0,6,0,38,0,15,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security.dto,LoginResponse.LoginResponseBuilder,16,56,0,0,0,1,1,9,1,9
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security.dto,LoginRequest,98,17,22,0,0,3,15,5,4,5
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.enums,EstadoSolicitud,75,0,8,0,12,0,7,0,3,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security.service,CustomUserDetailsService,59,0,2,0,14,0,4,0,3,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,JuradoController,229,0,14,0,52,0,21,0,14,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,TutorController,41,0,0,0,12,0,5,0,5,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,NotificacionController,47,0,0,0,10,0,7,0,7,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,UsuarioController,217,21,8,0,50,4,18,3,14,3
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,RubricaController,167,0,2,0,37,0,11,0,10,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,AnteproyectoController,139,0,8,0,29,0,12,0,8,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,EvaluacionController,77,0,0,0,17,0,8,0,8,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,CronogramaController,106,0,2,0,17,0,11,0,10,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,EstadoTiempoRealController,263,0,12,0,40,0,16,0,10,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,EvaluacionJuradoController,82,0,4,0,17,0,6,0,4,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,SolicitudController,200,0,0,0,48,0,17,0,17,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,TutoriaController,285,0,14,0,68,0,21,0,14,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,ExternalApiController,20,0,0,0,5,0,3,0,3,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,ActaController,106,0,0,0,29,0,7,0,7,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,CatalogoController,31,0,0,0,6,0,4,0,4,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,GlobalExceptionHandler,52,9,2,0,16,4,5,2,4,2
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,RubricaEvaluacionController,81,0,2,0,18,0,8,0,7,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,AuthController,254,116,28,0,56,26,19,3,5,3
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,ObservacionesController,22,0,0,0,5,0,2,0,2,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,ReporteController,1180,0,74,0,146,0,67,0,30,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,DocenteController,41,0,0,0,12,0,6,0,6,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,SalaController,28,0,0,0,6,0,5,0,5,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security,RateLimiterService,8,36,1,3,2,9,1,3,0,2
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security,RateLimitingFilter,31,46,5,5,7,11,4,4,0,3
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,EvaluacionServiceImpl,593,0,50,0,103,0,46,0,21,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,JuradoServiceImpl,565,481,33,9,95,101,56,15,35,13
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,ExternalApiServiceImpl,79,100,1,1,15,32,5,6,4,6
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,AnteproyectoServiceImpl,138,287,14,14,27,69,17,11,6,8
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,SolicitudServiceImpl,345,525,22,24,58,108,41,19,23,14
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,EmailService,89,4,4,0,20,1,6,1,4,1
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,TutoriaServiceImpl,414,676,41,35,72,171,55,16,21,12
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,TutorServiceImpl,197,0,0,0,39,0,10,0,10,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,ActaServiceImpl,1696,0,94,0,243,0,65,0,18,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,CronogramaServiceImpl,309,227,23,13,53,49,28,10,15,5
